num_image,nom_produit,description,origine,vente,type_produit,,
1,Patate douce violette,Cette patate douce est parfumée et un peu plus sucrée que la patate douce orange.,Espagne,Au poids,Légume,,
2,Banane,"Fruit riche en fer, en manganèse, en vitamine B et en potassium, la banane
est également transformée pour obtenir des chips qui peuvent servir d’amuse-gueules
pour vos apéros",Côte d’ivoire,au poids,Fruit,,
3,Piment rouge en poudre.,"Le piment est un ingrédient très utilisé dans la cuisine africaine et
antillaise. Il est riche en vitamines C, E, B6 et en fer manganèse, cuivre.",Afrique,au poids,Condiments et Epices,,
4,Patate douce,"La patate douce est un tubercule qui renferme de l’amidon, ainsi que des
nutriments tels que le manganèse, le cuivre, les vitamines B6, B2, C et A.",Togo,au poids,Autres,,
5,Mangue,"La mangue est un fruit parfumé aux saveurs délicieuses et à la chaire
juteuse. Elle est riche en vitamine C.",Togo,au poids,Fruit,,
6,Arôme Maggi,L’arôme Maggi est utilisé pour l’assaisonnement des plats.,Suisse,à l'unité,Condiments et Epices,,
7,Huile de palme,"Issue de la transformation des noix de palme, l’huile de palme s’utilise dans la préparation de
sauces comme la sauce gombo ou la sauce de corètes potagères.",Bénin,à l'unité,Condiments et Epices,,
8,Igname,"L'igname possède des propriétés d'élimination diurétique. En Afrique, il se mange pilé (foufou) ou en morceaux bouillies.",Togo,au poids,,,
9,Pâte d’arachide,La pâte d’arachide est utilisée pour la préparation de la sauce d’arachide.,Angleterre,à l'unité,Autres,,
10,Gombos togo /kg,"Utilisé comme légume ou condiment, le gombo est consommé dans la
quasi-totalité de l'Afrique tout au long de l'année. La sauce de gombo est la plus prisée",Togo,au poids,Autres,,
11,Papaye,"La papaye est un fruit gorgé de vitamines, excellent pour le tonus.",Brésil,au poids,Fruit,,
12,Bissap,"Feuilles d’hibiscus séchées. On obtient le jus de bissap par ébuilition de
feuilles séchées.",Sénégal,à l'unité,Autres,,
13,Farine de patate douce,"La patate douce est un tubercule comestible, riche en amidon.",Antilles,à l'unité,Autres,,
14,GARY JAUNE 900g,"Couscous de manioc, le gari jaune provient de la transformation du manioc.
Il accompagne plusieurs sauces et s’intègre dans plusieurs plat dont le plat de haricot.",Bénin,à l'unité,Autres,,
15,Epis de maïs grillé,"Le maïs est un céréale riche en amidon. Les épis de maïs grillés au charbon
sont prisés en Afrique subsaharienne.",Côte d'Ivoire,au poids,Autres,,
